,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
144,1400308.0,Mucajaí,14.0,RR,416.7099999999999,432.8809523809524,448.02380952380946,422.93,442.85714285714283
145,1400407.0,Normandia,14.0,RR,451.78461538461545,424.6846153846154,465.0692307692308,415.3846153846153,433.84615384615387
146,1400456.0,Pacaraima,14.0,RR,451.39,485.84,523.7500000000001,483.93999999999994,558.0
147,1400472.0,Rorainópolis,14.0,RR,416.6222222222222,483.16,468.53999999999996,451.92222222222216,474.0
148,1400506.0,São João da Baliza,14.0,RR,429.40833333333336,407.92499999999995,422.2875,448.7916666666666,442.5
149,1400605.0,São Luiz,14.0,RR,400.46000000000004,429.2166666666667,450.0,417.38,520.0
150,1400704.0,Uiramutã,14.0,RR,475.7,404.4,481.9,416.3,380.0
151,1500107.0,Abaetetuba,15.0,PA,468.4490693739429,478.2612111292962,490.9831423895248,472.57275803722496,586.7430441898528
152,1500131.0,Abel Figueiredo,15.0,PA,437.84999999999997,442.3,480.1285714285714,453.1214285714285,522.8571428571429
153,1500206.0,Acará,15.0,PA,437.55070422535215,452.0945945945948,467.36891891891895,451.1422535211268,511.8918918918919
154,1500305.0,Afuá,15.0,PA,425.2894736842105,455.36,457.375,482.5473684210527,491.0
155,1500347.0,Água Azul do Norte,15.0,PA,441.5818181818182,409.26666666666665,458.4583333333333,467.59090909090907,455.0
156,1500404.0,Alenquer,15.0,PA,434.7855670103093,439.8403846153845,465.75673076923067,430.10309278350525,466.15384615384613
157,1500503.0,Almeirim,15.0,PA,449.6303030303031,473.7388888888888,477.125,439.369696969697,490.55555555555554
158,1500602.0,Altamira,15.0,PA,472.21176470588233,487.1352941176472,507.81470588235265,492.5460358056267,589.656862745098
159,1500701.0,Anajás,15.0,PA,437.0066666666668,459.29696969696954,466.4212121212122,439.84,450.3030303030303
160,1500800.0,Ananindeua,15.0,PA,484.86154269972354,501.3994246861922,514.6883891213386,498.3681542699727,590.6380753138076
161,1500859.0,Anapu,15.0,PA,440.31428571428575,459.3999999999999,484.5133333333333,469.82857142857137,514.6666666666666
162,1500909.0,Augusto Corrêa,15.0,PA,445.828125,468.76060606060616,480.6000000000001,471.6312499999999,512.7272727272727
163,1500958.0,Aurora do Pará,15.0,PA,441.84358974358986,468.4,452.4102564102566,448.976923076923,490.2564102564103
164,1501006.0,Aveiro,15.0,PA,429.8,339.8,370.4,445.6,420.0
165,1501105.0,Bagre,15.0,PA,425.78499999999997,445.305,455.5949999999999,414.31000000000006,470.0
166,1501204.0,Baião,15.0,PA,432.9493827160495,429.3701149425287,456.2758620689655,447.83209876543185,529.8850574712644
167,1501253.0,Bannach,15.0,PA,392.75,398.9,430.55,451.40000000000003,430.0
168,1501303.0,Barcarena,15.0,PA,461.03958333333344,476.1286274509806,494.54745098039194,467.5329166666668,530.0392156862745
169,1501402.0,Belém,15.0,PA,494.97690324537393,516.0487111892198,528.016344463971,519.64975735517,629.6572934973638
170,1501451.0,Belterra,15.0,PA,440.6692307692308,447.12307692307695,486.8846153846155,457.90769230769223,532.3076923076923
171,1501501.0,Benevides,15.0,PA,454.9138121546962,464.1829787234043,488.4212765957446,469.5011049723757,550.531914893617
172,1501576.0,Bom Jesus do Tocantins,15.0,PA,434.5999999999999,418.4100000000001,464.64000000000016,441.1862068965518,469.3333333333333
173,1501600.0,Bonito,15.0,PA,428.60357142857146,408.73448275862063,431.78275862068966,419.8607142857142,491.7241379310345
174,1501709.0,Bragança,15.0,PA,462.059642857143,482.7428571428569,495.93031358885037,486.86785714285725,561.602787456446
175,1501725.0,Brasil Novo,15.0,PA,441.8125,477.10625000000005,475.7,456.54375,556.25
176,1501758.0,Brejo Grande do Araguaia,15.0,PA,,,,,
177,1501782.0,Breu Branco,15.0,PA,423.76896551724144,444.81016949152547,467.02033898305086,429.77413793103466,479.66101694915255
178,1501808.0,Breves,15.0,PA,449.42113402061864,456.2454545454549,469.7545454545456,440.14845360824756,535.4545454545455
179,1501907.0,Bujaru,15.0,PA,443.45576923076925,436.8534482758619,455.70517241379315,420.26730769230755,391.7241379310345
180,1501956.0,Cachoeira do Piriá,15.0,PA,415.53749999999997,386.7375,400.65,406.875,417.5
181,1502004.0,Cachoeira do Arari,15.0,PA,415.58214285714274,471.26896551724127,445.6793103448276,430.56071428571425,501.37931034482756
182,1502103.0,Cametá,15.0,PA,461.12738386308075,478.68574879227054,480.8260869565214,481.2559902200493,593.0434782608696
183,1502152.0,Canaã dos Carajás,15.0,PA,494.67809523809535,508.31388888888875,523.524074074074,526.9942857142858,653.5185185185185
184,1502202.0,Capanema,15.0,PA,464.6786516853932,495.21956521739145,503.49293478260876,478.696629213483,578.5869565217391
185,1502301.0,Capitão Poço,15.0,PA,457.18041237113397,457.6950495049504,481.2544554455444,457.78969072164955,513.0693069306931
186,1502400.0,Castanhal,15.0,PA,489.6819047619054,503.6836575875483,516.1948119325551,504.0881632653063,629.2607003891051
187,1502509.0,Chaves,15.0,PA,418.7666666666667,429.275,392.35,404.0333333333333,400.0
188,1502608.0,Colares,15.0,PA,424.5148148148147,433.2535714285715,440.0892857142855,421.474074074074,476.42857142857144
189,1502707.0,Conceição do Araguaia,15.0,PA,463.56181818181835,468.8194117647059,491.31470588235305,481.3351515151518,533.5294117647059
190,1502756.0,Concórdia do Pará,15.0,PA,443.38857142857154,452.4056338028168,471.6422535211269,449.6914285714286,528.169014084507
191,1502764.0,Cumaru do Norte,15.0,PA,404.70000000000005,443.04999999999995,461.29999999999995,397.57500000000005,445.0
192,1502772.0,Curionópolis,15.0,PA,444.404,456.1461538461539,452.0230769230769,421.36,429.2307692307692
193,1502806.0,Curralinho,15.0,PA,444.6734693877552,439.0673469387755,474.76122448979595,438.55510204081634,515.9183673469388
194,1502855.0,Curuá,15.0,PA,423.7962962962964,451.4740740740741,452.97037037037046,438.4518518518518,532.5925925925926
195,1502905.0,Curuçá,15.0,PA,443.22790697674424,449.2934782608695,473.217391304348,433.97906976744184,471.30434782608694
196,1502939.0,Dom Eliseu,15.0,PA,461.9217391304348,473.72368421052624,494.10921052631574,495.453623188406,521.8421052631579
197,1502954.0,Eldorado do Carajás,15.0,PA,438.3896551724138,430.76896551724144,459.91724137931044,432.0344827586207,426.2068965517241
198,1503002.0,Faro,15.0,PA,431.0,482.075,460.34999999999997,462.51818181818186,496.6666666666667
199,1503044.0,Floresta do Araguaia,15.0,PA,430.7444444444445,444.2821428571428,464.5678571428571,445.6481481481481,505.0
200,1503077.0,Garrafão do Norte,15.0,PA,428.2137931034484,460.22999999999996,471.34666666666664,465.651724137931,546.6666666666666
201,1503093.0,Goianésia do Pará,15.0,PA,441.05357142857144,469.2000000000001,472.7533333333332,448.4035714285716,546.0
202,1503101.0,Gurupá,15.0,PA,425.6166666666666,470.3333333333333,495.6000000000001,438.6666666666667,530.0
203,1503200.0,Igarapé-Açu,15.0,PA,457.4118421052632,468.1500000000001,471.5075,466.9407894736842,588.5
204,1503309.0,Igarapé-Miri,15.0,PA,425.7161016949154,435.7958333333333,454.34666666666647,438.171186440678,480.1666666666667
205,1503408.0,Inhangapi,15.0,PA,477.82,459.8333333333333,498.1833333333334,443.08000000000004,526.6666666666666
206,1503457.0,Ipixuna do Pará,15.0,PA,428.1473684210526,446.725,446.67999999999995,425.6526315789474,460.0
207,1503507.0,Irituia,15.0,PA,422.9800000000001,429.71999999999997,436.3066666666667,410.0533333333333,476.6666666666667
208,1503606.0,Itaituba,15.0,PA,472.53189655172423,485.96360000000027,504.3896000000001,498.62974137931053,636.32
209,1503705.0,Itupiranga,15.0,PA,431.89333333333326,445.98936170212767,459.2702127659575,428.61111111111103,451.06382978723406
210,1503754.0,Jacareacanga,15.0,PA,393.79999999999995,464.95000000000005,445.85,363.65,450.0
211,1503804.0,Jacundá,15.0,PA,458.6056179775282,464.60777777777776,478.6377777777778,479.0606741573033,518.0
212,1503903.0,Juruti,15.0,PA,463.6869565217392,465.3935185185187,470.6148148148147,471.32717391304357,503.3333333333333
213,1504000.0,Limoeiro do Ajuru,15.0,PA,433.6732142857143,439.81379310344835,447.2568965517244,432.8785714285715,468.2758620689655
214,1504059.0,Mãe do Rio,15.0,PA,442.9566265060241,460.42705882352936,489.74,465.69879518072315,533.8823529411765
215,1504109.0,Magalhães Barata,15.0,PA,421.4571428571429,456.37142857142857,431.09999999999997,458.0857142857143,474.2857142857143
216,1504208.0,Marabá,15.0,PA,473.0023762376237,489.1573308270679,501.7120300751883,494.6288118811889,593.7781954887218
217,1504307.0,Maracanã,15.0,PA,433.0089285714286,455.4387096774194,461.0983870967742,441.86428571428576,493.2258064516129
218,1504406.0,Marapanim,15.0,PA,425.3633333333333,413.8233333333333,451.5800000000001,422.8166666666666,490.6666666666667
219,1504422.0,Marituba,15.0,PA,445.949169435216,460.4808176100629,483.6638364779876,455.55747508305654,491.9496855345912
220,1504455.0,Medicilândia,15.0,PA,446.2967741935483,463.0424242424242,467.98484848484856,447.7645161290324,473.93939393939394
221,1504505.0,Melgaço,15.0,PA,435.1538461538461,449.39512195121944,440.86097560975605,435.3282051282052,508.2926829268293
222,1504604.0,Mocajuba,15.0,PA,431.5024390243901,432.06206896551737,448.08965517241376,430.8878048780487,426.2068965517241
223,1504703.0,Moju,15.0,PA,443.4644859813081,437.57168141592905,456.9353982300885,431.3242990654205,452.7433628318584
224,1504752.0,Mojuí dos Campos,15.0,PA,450.1625000000001,449.4119999999999,481.00399999999996,463.6333333333334,489.6
225,1504802.0,Monte Alegre,15.0,PA,447.2602150537635,461.06731707317067,469.8985365853657,443.4182795698923,540.390243902439
226,1504901.0,Muaná,15.0,PA,444.76562500000006,472.9212121212122,482.76969696969695,466.0749999999999,509.09090909090907
